#Total cluster, Fake cluster, Percentage fake, Real roads, Extracted roads, Exceeded roads, Found roads, Percentage success, Percentage accumulator density
80,0,0,5,4,-1,4,0.80,0.01
88,8,0.1,5,4,-1,4,0.80,0.01
100,20,0.2,5,4,-1,4,0.80,0.01
114,34,0.3,5,4,-1,4,0.80,0.02
133,53,0.4,5,4,-1,4,0.80,0.03
160,80,0.5,5,6,1,4,0.80,0.04
200,120,0.6,5,6,1,4,0.80,0.06
266,186,0.7,5,6,1,4,0.80,0.08
400,320,0.8,5,6,1,4,0.80,0.13
800,720,0.9,5,13,8,4,0.80,0.22
96,0,0,6,9,3,6,1.00,0.01
106,10,0.1,6,9,3,6,1.00,0.01
120,24,0.2,6,9,3,6,1.00,0.02
137,41,0.3,6,9,3,6,1.00,0.02
160,64,0.4,6,9,3,6,1.00,0.03
192,96,0.5,6,9,3,6,1.00,0.05
239,143,0.6,6,9,3,6,1.00,0.07
319,223,0.7,6,9,3,6,1.00,0.10
480,384,0.8,6,9,3,6,1.00,0.15
960,864,0.9,6,34,28,7,1.00,0.26
112,0,0,7,5,-2,5,0.71,0.01
124,12,0.1,7,5,-2,5,0.71,0.01
140,28,0.2,7,5,-2,5,0.71,0.02
160,48,0.3,7,5,-2,5,0.71,0.03
186,74,0.4,7,5,-2,5,0.71,0.04
224,112,0.5,7,5,-2,5,0.71,0.06
280,168,0.6,7,6,-1,5,0.71,0.08
373,261,0.7,7,6,-1,5,0.71,0.12
560,448,0.8,7,6,-1,5,0.71,0.18
1120,1008,0.9,7,70,63,8,0.71,0.30
128,0,0,8,8,0,7,0.88,0.02
142,14,0.1,8,8,0,7,0.88,0.02
160,32,0.2,8,8,0,7,0.88,0.02
182,54,0.3,8,8,0,7,0.88,0.03
213,85,0.4,8,8,0,7,0.88,0.04
256,128,0.5,8,9,1,7,0.88,0.06
319,191,0.6,8,9,1,7,0.88,0.09
426,298,0.7,8,9,1,7,0.88,0.13
640,512,0.8,8,14,6,8,0.88,0.20
1280,1152,0.9,8,189,181,9,1.00,0.33
144,0,0,9,9,0,6,0.67,0.01
160,16,0.1,9,9,0,6,0.67,0.02
180,36,0.2,9,9,0,6,0.67,0.02
205,61,0.3,9,10,1,7,0.78,0.03
240,96,0.4,9,10,1,7,0.78,0.05
288,144,0.5,9,10,1,7,0.78,0.07
359,215,0.6,9,10,1,7,0.78,0.10
479,335,0.7,9,10,1,7,0.78,0.15
720,576,0.8,9,26,17,8,0.89,0.22
1440,1296,0.9,9,325,316,15,0.89,0.36
160,0,0,10,12,2,10,1.00,0.02
177,17,0.1,10,12,2,10,1.00,0.02
200,40,0.2,10,12,2,10,1.00,0.02
228,68,0.3,10,12,2,10,1.00,0.04
266,106,0.4,10,12,2,10,1.00,0.05
320,160,0.5,10,12,2,10,1.00,0.08
400,240,0.6,10,13,3,10,1.00,0.11
533,373,0.7,10,14,4,10,1.00,0.16
800,640,0.8,10,25,15,10,1.00,0.24
1600,1440,0.9,10,583,573,19,1.00,0.39
176,0,0,11,11,0,10,0.91,0.02
195,19,0.1,11,11,0,10,0.91,0.02
220,44,0.2,11,12,1,10,0.91,0.03
251,75,0.3,11,12,1,10,0.91,0.04
293,117,0.4,11,12,1,10,0.91,0.05
352,176,0.5,11,12,1,10,0.91,0.08
439,263,0.6,11,13,2,10,0.91,0.12
586,410,0.7,11,14,3,10,0.91,0.17
880,704,0.8,11,42,31,10,0.91,0.25
1760,1584,0.9,11,935,924,21,0.91,0.41
192,0,0,12,16,4,12,1.00,0.02
213,21,0.1,12,16,4,12,1.00,0.02
240,48,0.2,12,16,4,12,1.00,0.03
274,82,0.3,12,16,4,12,1.00,0.04
320,128,0.4,12,16,4,12,1.00,0.06
384,192,0.5,12,16,4,12,1.00,0.09
479,287,0.6,12,16,4,12,1.00,0.13
639,447,0.7,12,20,8,12,1.00,0.19
960,768,0.8,12,54,42,13,1.00,0.28
1920,1728,0.9,12,1430,1418,42,1.00,0.44
208,0,0,13,15,2,12,0.92,0.02
231,23,0.1,13,15,2,12,0.92,0.02
260,52,0.2,13,15,2,12,0.92,0.03
297,89,0.3,13,15,2,12,0.92,0.04
346,138,0.4,13,15,2,12,0.92,0.07
416,208,0.5,13,15,2,12,0.92,0.10
520,312,0.6,13,17,4,12,0.92,0.14
693,485,0.7,13,18,5,12,0.92,0.20
1040,832,0.8,13,83,70,14,0.92,0.29
2080,1872,0.9,13,2496,2483,62,0.92,0.47
224,0,0,14,16,2,12,0.86,0.03
248,24,0.1,14,16,2,12,0.86,0.03
280,56,0.2,14,16,2,12,0.86,0.04
320,96,0.3,14,17,3,12,0.86,0.05
373,149,0.4,14,17,3,12,0.86,0.07
448,224,0.5,14,17,3,12,0.86,0.10
560,336,0.6,14,20,6,13,0.86,0.15
746,522,0.7,14,30,16,14,0.93,0.22
1120,896,0.8,14,147,133,14,0.93,0.31
2240,2016,0.9,14,3474,3460,106,1.00,0.49
240,0,0,15,14,-1,12,0.80,0.03
266,26,0.1,15,14,-1,12,0.80,0.03
300,60,0.2,15,14,-1,12,0.80,0.04
342,102,0.3,15,14,-1,12,0.80,0.05
400,160,0.4,15,14,-1,12,0.80,0.08
480,240,0.5,15,15,0,12,0.80,0.11
